IP,Username,status code
10.55.142.86,sftp-rl-prodco,530
10.205.19.6,SFTP-RL-BIZTALK,530
10.164.204.220,SFTP-RL-PRODCO,530
10.98.33.172,APP-FTP-ARB,530
10.58.107.187,SFTP-RL-PRODCO,530
10.164.154.223,SFTP-RL-PRODCO,530
10.98.33.171,APP-FTP-ARB-QA,530
10.55.142.85,SFTP-RL-PRODCO,530
10.164.154.222,SFTP-RL-PRODCO,530
10.164.154.224,SFTP-RL-PRODCO,530
10.57.245.85,SFTP-RL-PRODCO,530
99.81.216.127,SFTP-PRDCT-EU-OUT,530
10.204.40.12,rl-biztalk-sea-qa,530
10.164.204.221,SFTP-RL-PRODCO,530
10.164.239.222,SFTP-RL-PRODCO,530
10.164.71.220,SFTP-RL-PRODCO,530
203.105.57.194,app-ftp-ax-snatt-qa,530
10.61.142.87,SFTP-RL-PRODCO,530
10.164.239.221,SFTP-RL-PRODCO,530
10.164.154.220,SFTP-RL-PRODCO,530
10.164.66.228,sftp-rf-store,530
10.164.170.222,SFTP-RL-PRODCO,530
10.164.178.222,SFTP-RL-PRODCO,530
10.164.206.222,SFTP-RL-PRODCO,530
10.58.107.186,SFTP-RL-PRODCO,530
10.164.136.222,SFTP-RL-PRODCO,530
10.58.107.185,SFTP-RL-PRODCO,530
10.164.170.220,SFTP-RL-PRODCO,530
10.203.50.37,APP-FTP-MICROS,530
10.164.196.220,SFTP-RL-PRODCO,530
10.164.172.222,SFTP-RL-PRODCO,530
10.164.106.221,SFTP-RL-PRODCO,530
10.164.212.222,SFTP-RL-PRODCO,530
10.164.148.220,SFTP-RL-PRODCO,530
10.57.80.85,SFTP-RL-PRODCO,530
10.164.214.220,SFTP-RL-PRODCO,530
10.164.212.221,SFTP-RL-PRODCO,530
10.205.19.16,app-ftp-ax-snatt,530
