IP,Username,Status code
10.58.107.187,SFTP-RL-PRODCO,230
10.57.80.85,SFTP-RL-PRODCO,230
10.98.33.201,SFTP-TRD-EDGE,230
10.58.107.185,SFTP-RL-PRODCO,230
10.55.142.86,SFTP-RL-PRODCO,230
10.57.80.86,SFTP-RL-PRODCO,230
10.164.170.220,SFTP-RL-PRODCO,230
10.164.196.222,SFTP-RL-PRODCO,230
10.164.148.220,SFTP-RL-PRODCO,230
10.164.148.221,SFTP-RL-PRODCO,230
10.164.212.222,SFTP-RL-PRODCO,230
10.55.142.85,SFTP-RL-PRODCO,230
96.47.24.59,RL-SFTP-ZETA,230
10.164.172.222,SFTP-RL-PRODCO,230
10.58.107.186,SFTP-RL-PRODCO,230
10.57.245.85,SFTP-RL-PRODCO,230
10.205.19.6,SFTP-RL-BIZTALK,230
10.164.23.223,SFTP-RL-PRODCO,230
10.164.178.220,SFTP-RL-PRODCO,230
10.56.83.85,SFTP-RL-PRODCO,230
10.61.142.87,SFTP-RL-PRODCO,230
160.8.65.65,SFTP-SFCC-CRTD-ORDER,230
10.61.142.86,SFTP-RL-PRODCO,230
10.164.106.221,SFTP-RL-PRODCO,230
63.251.111.10,RL-SFTP-INTERTEK,230
10.164.206.222,SFTP-RL-PRODCO,230
10.164.239.221,SFTP-RL-PRODCO,230
10.164.239.222,SFTP-RL-PRODCO,230
10.164.71.220,SFTP-RL-PRODCO,230
10.164.212.220,SFTP-RL-PRODCO,230
10.164.204.220,SFTP-RL-PRODCO,230
10.164.106.220,SFTP-RL-PRODCO,230
10.57.245.86,SFTP-RL-PRODCO,230
10.164.154.223,SFTP-RL-PRODCO,230
10.164.154.224,SFTP-RL-PRODCO,230
10.204.40.12,rl-biztalk-sea-qa,230
203.105.57.194,app-ftp-ax-snatt-qa,230
10.164.71.221,SFTP-RL-PRODCO,230
10.164.206.220,SFTP-RL-PRODCO,230
52.209.179.137,RL-SFTP-CDP,230
10.164.212.221,SFTP-RL-PRODCO,230
194.184.40.33,RL-SFTP-CODETEX,230
10.164.23.221,SFTP-RL-PRODCO,230
10.164.214.220,SFTP-RL-PRODCO,230
10.56.83.86,SFTP-RL-PRODCO,230
10.164.23.225,SFTP-RL-PRODCO,230
10.164.204.221,SFTP-RL-PRODCO,230
10.164.154.221,SFTP-RL-PRODCO,230
10.164.214.221,SFTP-RL-PRODCO,230
10.164.178.221,SFTP-RL-PRODCO,230
10.164.170.222,SFTP-RL-PRODCO,230
10.164.178.222,SFTP-RL-PRODCO,230
10.164.194.220,SFTP-RL-PRODCO,230
10.164.196.220,SFTP-RL-PRODCO,230
10.164.152.221,SFTP-RL-PRODCO,230
10.164.154.222,SFTP-RL-PRODCO,230
10.164.154.220,SFTP-RL-PRODCO,230
72.46.228.197,APP-FTP-AX-LABEL,230
54.77.78.19,RL-SFTP-MDO,230
204.90.181.72,sftp-rl-opentext,230
10.98.33.172,APP-FTP-ARB,230
161.113.20.1,APP-FTP-ESBHSBC-PD,230
121.65.234.125,SFTP-FITI-PLM,230
10.164.136.222,SFTP-RL-PRODCO,230
10.98.33.171,APP-FTP-ARB-QA,230
163.177.33.254,RL-SFTP-SGS-QA,230
123.141.223.235,SFTP-FITI-PLM,230
10.164.136.221,SFTP-RL-PRODCO,230
198.186.189.183,SFTP-GTN,230
52.151.237.67,APP-FTP-ChainIOUser,230
10.223.11.251,SFTP-NETZ-VEDA,230
77.89.178.34,rl-sftp-dg,230
107.178.231.55,SFTP-PRDCT-EU-OUT,230
10.98.32.84,SFTP-GFE-EU-QA,230
209.177.169.160,SFTP-PI-WORKDAY,230
10.209.251.180,SFTP-PRDCT-EU-OUT,230
20.50.225.105,RL-SFTP-RetailEx,230
34.252.248.220,RL-SFTP-CDP,230
47.88.100.196,rl-sftp-wedo,230
3.251.214.2,RL-SFTP-MDO,230
3.251.214.4,RL-SFTP-MDO,230
10.164.22.155,sftp-rf-store,230
54.74.211.204,SFTP-PRDCT-EU-OUT,230
10.164.22.156,sftp-rf-store,230
99.80.224.71,SFTP-PRDCT-EU-OUT,230
10.164.22.161,sftp-rf-store,230
10.164.22.171,sftp-rf-store,230
10.164.73.106,sftp-rf-store,230
10.164.73.114,sftp-rf-store,230
10.164.73.14,sftp-rf-store,230
121.40.182.135,rl-sftp-wedo,230
10.203.10.4,APP-FTP-MICROS,230
185.184.8.7,SFTP-PRDCT-EU-OUT,230
10.203.250.106,RL-SFTP-TRC-PROD,230
136.146.56.225,SFTP-SFCC-CRTD-ORDER,230
10.98.52.61,sftp-rf-store,230
10.164.62.85,sftp-rf-store,230
10.164.62.123,sftp-rf-store,230
10.164.148.80,sftp-rf-store,230
107.178.231.15,SFTP-PRDCT-EU-OUT,230
10.164.238.136,sftp-rf-store,230
